2010,12,7,1900,21,91,4,9,278,0.5,0,16.9
2010,12,7,2000,20,91,5,9,276,0.4,0,16.8
2010,12,7,2100,19,91,6,11,279,0.4,0,16.7
2010,12,7,2200,20,89,5,9,278,0.4,0,16.7
2010,12,7,2300,21,91,4,9,278,0.4,0,16.7
2010,12,7,2400,22,92,3,9,276,0.4,0,16.6
2010,12,8,100,22,91,5,9,285,0.4,0,16.6
2010,12,8,200,22,90,6,10,284,0.4,0,16.6
2010,12,8,300,21,90,6,10,280,0.4,0,16.6
2010,12,8,400,20,90,7,10,275,0.4,0,16.6
2010,12,8,500,20,89,7,9,284,0.4,0,16.6
2010,12,8,600,19,89,7,9,284,0.4,0,16.6
2010,12,8,700,19,89,6,10,282,0.4,0,16.6
2010,12,8,800,20,89,6,8,284,0.4,0,16.6
2010,12,8,900,21,90,5,8,281,0.7,0,16.6
2010,12,8,1000,23,88,3,9,282,0.3,0,16.6
2010,12,8,1100,26,84,2,9,158,0.3,0,16.6
2010,12,8,1200,28,79,2,8,165,0.3,0,16.6
2010,12,8,1300,28,79,3,9,236,0.3,0,16.5
2010,12,8,1400,27,81,2,7,258,0.2,0,16.5
2010,12,8,1500,27,83,3,14,280,0.3,0,16.6
2010,12,8,1600,28,83,3,17,241,0.3,0,16.6
2010,12,8,1700,28,84,3,14,231,0.5,0,16.8
2010,12,8,1800,33,72,7,14,282,0.4,0,16.7
2010,12,8,1900,32,74,7,15,270,0.4,0.01,16.4
2010,12,8,2000,32,75,7,15,257,0.4,0,16.4
2010,12,8,2100,31,77,8,17,246,0.3,0,16.5
2010,12,8,2200,31,76,6,17,248,0.3,0.01,16.2
2010,12,8,2300,31,71,6,13,278,0.4,0,16.4
2010,12,8,2400,31,68,8,16,283,0.4,0,16.5
2010,12,9,100,31,69,7,15,265,0.4,0,16.5
2010,12,9,200,30,71,7,18,241,0.4,0,16.5
2010,12,9,300,30,74,7,19,234,0.3,0,16.5
2010,12,9,400,30,66,8,22,249,0.4,0,16.5
2010,12,9,500,30,67,7,15,251,0.4,0,16.5
2010,12,9,600,29,68,4,11,248,0.3,0,16.5
2010,12,9,700,29,68,3,16,239,0.3,0,16.5
2010,12,9,800,28,70,4,12,216,0.4,0,16.5
2010,12,9,900,28,72,4,11,219,0.4,0,16.4
2010,12,9,1000,33,56,6,12,231,0.3,0,16.4
2010,12,9,1100,33,51,6,11,264,0.3,0,16.5
2010,12,9,1200,35,44,6,14,258,0.3,0,16.4
2010,12,9,1300,34,43,5,15,257,0.3,0,16.4
2010,12,9,1400,34,44,5,15,201,0.3,0,16.4
2010,12,9,1500,34,45,6,15,214,0.3,0,16.4
2010,12,9,1600,32,51,4,16,288,0.3,0,16.4
2010,12,9,1700,30,55,3,10,336,0.4,0,16.4
2010,12,9,1800,30,55,9,18,271,0.4,0,16.4
2010,12,9,1900,29,58,6,12,270,0.4,0,16.4
2010,12,9,2000,27,61,4,9,272,0.4,0,16.4
2010,12,9,2100,23,72,3,9,203,0.4,0,16.5
2010,12,9,2200,21,75,2,8,260,0.4,0,16.4
2010,12,9,2300,19,80,1,5,255,0.4,0,16.4
2010,12,9,2400,17,86,2,5,275,0.4,0,16.4
2010,12,10,100,17,85,2,7,278,0.4,0,16.3
2010,12,10,200,18,83,4,17,257,0.6,0,16.9
2010,12,10,300,24,72,4,15,55,0.4,0,16.4
2010,12,10,400,25,72,3,8,312,0.4,0,16.4
